Ref,Val,Package,PosX,PosY,Rot,Side
"C70","1uF","C_0603_1608Metric",434.450000,-99.275000,-90.000000,bottom
"C71","1uF","C_0603_1608Metric",158.450000,-103.275000,-90.000000,bottom
"C72","1uF","C_0603_1608Metric",162.450000,-103.275000,-90.000000,bottom
"C73","1uF","C_0603_1608Metric",166.450000,-103.275000,-90.000000,bottom
"C74","1uF","C_0603_1608Metric",170.450000,-103.275000,-90.000000,bottom
"C75","1uF","C_0603_1608Metric",174.450000,-103.275000,-90.000000,bottom
"C76","1uF","C_0603_1608Metric",178.450000,-103.275000,-90.000000,bottom
"C77","1uF","C_0603_1608Metric",182.450000,-103.275000,-90.000000,bottom
"C78","1uF","C_0603_1608Metric",186.450000,-103.275000,-90.000000,bottom
"C79","1uF","C_0603_1608Metric",190.450000,-103.275000,-90.000000,bottom
"C80","1uF","C_0603_1608Metric",194.450000,-103.275000,-90.000000,bottom
"C81","1uF","C_0603_1608Metric",198.450000,-103.275000,-90.000000,bottom
"C82","1uF","C_0603_1608Metric",202.450000,-103.275000,-90.000000,bottom
"C83","1uF","C_0603_1608Metric",206.450000,-103.275000,-90.000000,bottom
"C84","1uF","C_0603_1608Metric",210.450000,-103.275000,-90.000000,bottom
"C85","1uF","C_0603_1608Metric",214.450000,-103.275000,-90.000000,bottom
"C86","1uF","C_0603_1608Metric",218.450000,-103.275000,-90.000000,bottom
"C87","1uF","C_0603_1608Metric",222.450000,-103.275000,-90.000000,bottom
"C88","1uF","C_0603_1608Metric",226.450000,-103.275000,-90.000000,bottom
"C89","1uF","C_0603_1608Metric",230.450000,-103.275000,-90.000000,bottom
"C90","1uF","C_0603_1608Metric",234.450000,-103.275000,-90.000000,bottom
"C91","1uF","C_0603_1608Metric",238.450000,-103.275000,-90.000000,bottom
"C92","1uF","C_0603_1608Metric",242.450000,-103.275000,-90.000000,bottom
"C93","1uF","C_0603_1608Metric",246.450000,-103.275000,-90.000000,bottom
"C94","1uF","C_0603_1608Metric",250.450000,-103.275000,-90.000000,bottom
"C95","1uF","C_0603_1608Metric",254.450000,-103.275000,-90.000000,bottom
"C96","1uF","C_0603_1608Metric",258.450000,-103.275000,-90.000000,bottom
"C97","1uF","C_0603_1608Metric",262.450000,-103.275000,-90.000000,bottom
"C98","1uF","C_0603_1608Metric",266.450000,-103.275000,-90.000000,bottom
"C99","1uF","C_0603_1608Metric",270.450000,-103.275000,-90.000000,bottom
"C100","1uF","C_0603_1608Metric",274.450000,-103.275000,-90.000000,bottom
"C101","1uF","C_0603_1608Metric",278.450000,-103.275000,-90.000000,bottom
"C102","1uF","C_0603_1608Metric",282.450000,-103.275000,-90.000000,bottom
"C103","1uF","C_0603_1608Metric",286.450000,-103.275000,-90.000000,bottom
"C104","1uF","C_0603_1608Metric",290.450000,-103.275000,-90.000000,bottom
"C105","1uF","C_0603_1608Metric",294.450000,-103.275000,-90.000000,bottom
"C106","1uF","C_0603_1608Metric",298.450000,-103.275000,-90.000000,bottom
"C107","1uF","C_0603_1608Metric",302.450000,-103.275000,-90.000000,bottom
"C108","1uF","C_0603_1608Metric",306.450000,-103.275000,-90.000000,bottom
"C109","1uF","C_0603_1608Metric",310.450000,-103.275000,-90.000000,bottom
"C110","1uF","C_0603_1608Metric",314.450000,-103.275000,-90.000000,bottom
"C111","1uF","C_0603_1608Metric",318.450000,-103.275000,-90.000000,bottom
"C112","1uF","C_0603_1608Metric",322.450000,-103.275000,-90.000000,bottom
"C113","1uF","C_0603_1608Metric",326.450000,-103.275000,-90.000000,bottom
"C114","1uF","C_0603_1608Metric",330.450000,-103.275000,-90.000000,bottom
