Time [s],Packet ID,MOSI,MISO
0.0000000000,0,0xAC,0x00
0.0000873300,0,0x00,0x00
0.0001743300,0,0x00,0x00
0.0002555750,0,0x56,0x00
0.0004764900,0,0x29,0x00
0.0005634050,0,0x80,0x00
0.0006724050,0,0x00,0x00
0.0007594000,0,0x2B,0x00
0.0009947300,0,0x14,0x00
0.0010815650,0,0xC0,0x00
0.0011935600,0,0x00,0x00
0.0012805600,0,0x15,0x00
0.0015221400,0,0x8A,0x00
0.0016090550,0,0x60,0x00
0.0017179700,0,0x00,0x00
0.0018049700,0,0x0A,0x00
0.0020396300,0,0xC5,0x00
0.0021265450,0,0x30,0x00
0.0022137950,0,0x00,0x00
0.0023007950,0,0x05,0x00
0.0025046250,0,0x62,0x00
0.0026292850,0,0x98,0x00
0.0027165350,0,0x00,0x00
0.0028284500,0,0x02,0x00
0.0030329500,0,0xB1,0x00
0.0031506950,0,0x4C,0x00
0.0032379450,0,0x00,0x00
0.0033349450,0,0x01,0x00
0.0035454400,0,0x58,0x00
0.0036323550,0,0xA6,0x00
0.0037415200,0,0x00,0x00
0.0038285200,0,0x00,0x00
0.0040671800,0,0xAC,0x00
0.0041540950,0,0x53,0x00
0.0042413450,0,0x00,0x53
0.0043283450,0,0x00,0x00
0.0148890000,0,0x30,0x00
0.0150146650,0,0x00,0x30
0.0151018300,0,0x00,0x00
0.0151889150,0,0x00,0x1E
0.0157749050,0,0x30,0x00
0.0158620700,0,0x00,0x30
0.0159806500,0,0x01,0x00
0.0160678150,0,0x00,0x94
0.0167301400,0,0x30,0x00
0.0168564700,0,0x00,0x30
0.0169436350,0,0x02,0x00
0.0170617150,0,0x00,0x06
0.0179495350,0,0x50,0x00
0.0180766150,0,0x00,0x50
0.0181637800,0,0x00,0x00
0.0182438050,0,0x80,0xFF
